sample-id	forward-absolute-filepath	reverse-absolute-filepath	env_material	station
SRR5060953	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060953_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060953_2.fastq.gz	sea water	SW01
SRR5060954	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060954_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060954_2.fastq.gz	sea water	SW02
SRR5060955	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060955_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060955_2.fastq.gz	sea water	SW03
SRR5060956	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060956_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060956_2.fastq.gz	sea water	SW04
SRR5060957	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060957_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060957_2.fastq.gz	sea water	SW05
SRR5060958	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060958_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060958_2.fastq.gz	sea water	SW06
SRR5060959	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060959_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060959_2.fastq.gz	sea water	SW07
SRR5060960	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060960_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060960_2.fastq.gz	sea water	SW08
SRR5060961	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060961_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060961_2.fastq.gz	sea water	SW09
SRR5060962	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060962_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060962_2.fastq.gz	sea water	SW10
SRR5060963	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060963_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060963_2.fastq.gz	sea water	SW11
SRR5060964	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060964_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060964_2.fastq.gz	sea water	SW12
SRR5060965	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060965_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060965_2.fastq.gz	sea water	SW13
SRR5060966	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060966_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060966_2.fastq.gz	sea water	SW14
SRR5060967	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060967_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060967_2.fastq.gz	sea water	SW15
SRR5060968	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060968_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060968_2.fastq.gz	sea water	SW16
SRR5060969	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060969_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060969_2.fastq.gz	sea water	SW17
SRR5060970	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060970_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060970_2.fastq.gz	sea water	SW18
SRR5060971	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060971_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060971_2.fastq.gz	sea water	SW19
SRR5060972	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060972_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060972_2.fastq.gz	sea water	SW20
SRR5060973	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060973_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060973_2.fastq.gz	sea water	SW21
SRR5060974	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060974_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060974_2.fastq.gz	sea water	SW22
SRR5060975	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060975_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060975_2.fastq.gz	sea water	SW23
SRR5060976	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060976_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060976_2.fastq.gz	sea water	SW01
SRR5060977	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060977_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060977_2.fastq.gz	sea water	SW02
SRR5060978	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060978_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060978_2.fastq.gz	sea water	SW03
SRR5060979	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060979_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060979_2.fastq.gz	sea water	SW04
SRR5060980	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060980_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060980_2.fastq.gz	sea water	SW05
SRR5060981	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060981_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060981_2.fastq.gz	sea water	SW06
SRR5060982	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060982_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060982_2.fastq.gz	sea water	SW07
SRR5060983	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060983_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060983_2.fastq.gz	sea water	SW08
SRR5060984	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060984_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060984_2.fastq.gz	sea water	SW09
SRR5060985	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060985_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060985_2.fastq.gz	sea water	SW10
SRR5060986	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060986_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060986_2.fastq.gz	sea water	SW11
SRR5060987	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060987_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060987_2.fastq.gz	sea water	SW12
SRR5060988	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060988_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060988_2.fastq.gz	sea water	SW13
SRR5060989	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060989_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060989_2.fastq.gz	sea water	SW14
SRR5060990	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060990_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060990_2.fastq.gz	sea water	SW15
SRR5060991	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060991_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060991_2.fastq.gz	sea water	SW16
SRR5060992	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060992_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060992_2.fastq.gz	sea water	SW17
SRR5060993	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060993_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060993_2.fastq.gz	sea water	SW18
SRR5060994	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060994_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060994_2.fastq.gz	sea water	SW19
SRR5060995	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060995_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060995_2.fastq.gz	sea water	SW20
SRR5060996	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060996_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060996_2.fastq.gz	sea water	SW21
SRR5060997	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060997_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060997_2.fastq.gz	sea water	SW22
SRR5060998	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060998_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060998_2.fastq.gz	sea water	SW23
SRR5060999	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060999_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5060999_2.fastq.gz	ice	ICE01
SRR5061000	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061000_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061000_2.fastq.gz	ice	ICE02
SRR5061001	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061001_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061001_2.fastq.gz	ice	ICE03
SRR5061002	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061002_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061002_2.fastq.gz	ice	ICE04
SRR5061003	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061003_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061003_2.fastq.gz	ice	ICE05
SRR5061004	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061004_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061004_2.fastq.gz	ice	ICE06
SRR5061005	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061005_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061005_2.fastq.gz	ice	ICE07
SRR5061006	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061006_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061006_2.fastq.gz	ice	ICE08
SRR5061007	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061007_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061007_2.fastq.gz	ice	ICE09
SRR5061008	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061008_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061008_2.fastq.gz	ice	ICE10
SRR5061009	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061009_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061009_2.fastq.gz	ice	ICE11
SRR5061010	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061010_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061010_2.fastq.gz	ice	ICE12
SRR5061011	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061011_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061011_2.fastq.gz	ice	ICE13
SRR5061012	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061012_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061012_2.fastq.gz	ice	ICE14
SRR5061013	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061013_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061013_2.fastq.gz	ice	ICE15
SRR5061014	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061014_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061014_2.fastq.gz	ice	ICE16
